origin,destination,distance_meters,duration_seconds,duration_in_traffic_seconds,departure_time,delay
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1944,2024-09-02 02:22:03,34
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2077,2024-09-02 03:22:03,167
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2576,2024-09-02 04:22:03,666
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2669,2024-09-02 05:22:03,759
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2652,2024-09-02 06:22:03,742
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2062,2024-09-02 07:22:03,152
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2430,2024-09-02 08:22:03,520
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2337,2024-09-02 09:22:03,427
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2470,2024-09-02 10:22:03,560
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2486,2024-09-02 11:22:03,576
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2819,2024-09-02 12:22:03,909
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2791,2024-09-02 13:22:03,881
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2693,2024-09-02 14:22:03,783
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1826,2024-09-02 15:22:03,-84
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1729,2024-09-02 16:22:03,-181
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,3922,2024-09-02 17:22:03,25
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,3029,2024-09-02 18:22:03,-868
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,2863,2024-09-02 19:22:03,-1034
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,2865,2024-09-02 20:22:03,-1032
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,3022,2024-09-02 21:22:03,-875
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,2822,2024-09-02 22:22:03,-1075
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,2486,2024-09-02 23:22:03,-1411
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,3184,2024-09-02 00:22:03,-713
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,3457,2024-09-02 01:22:03,-440
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4292,2024-09-02 02:22:03,395
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4467,2024-09-02 03:22:03,570
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4770,2024-09-02 04:22:03,873
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4898,2024-09-02 05:22:03,1001
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,5025,2024-09-02 06:22:03,1128
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4746,2024-09-02 07:22:03,849
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4700,2024-09-02 08:22:03,803
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,5060,2024-09-02 09:22:03,1163
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4873,2024-09-02 10:22:03,976
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4827,2024-09-02 11:22:03,930
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,5090,2024-09-02 12:22:03,1193
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,5667,2024-09-02 13:22:03,1770
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4870,2024-09-02 14:22:03,973
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4754,2024-09-02 15:22:03,857
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4234,2024-09-02 16:22:03,337
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,728,2024-09-02 17:22:03,-581
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,861,2024-09-02 18:22:03,-483
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,673,2024-09-02 19:22:03,-636
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,875,2024-09-02 20:22:03,-434
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,598,2024-09-02 21:22:03,-711
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,883,2024-09-02 22:22:03,-426
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,928,2024-09-02 23:22:03,-416
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1181,2024-09-02 00:22:03,-163
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,956,2024-09-02 01:22:03,-388
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",9617,1459,1461,2024-09-02 02:22:03,2
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6247,1297,1224,2024-09-02 03:22:03,-73
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1328,2024-09-02 04:22:03,-16
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1752,2024-09-02 05:22:03,408
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,2100,2024-09-02 06:22:03,756
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1833,2024-09-02 07:22:03,489
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,2077,2024-09-02 08:22:03,733
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1727,2024-09-02 09:22:03,383
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1815,2024-09-02 10:22:03,471
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1744,2024-09-02 11:22:03,400
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,2088,2024-09-02 12:22:03,744
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1593,2024-09-02 13:22:03,249
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1848,2024-09-02 14:22:03,504
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1335,2024-09-02 15:22:03,-9
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1343,2024-09-02 16:22:03,-1
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5063,999,573,2024-09-02 17:22:03,-426
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,502,2024-09-02 18:22:03,-492
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,672,2024-09-02 19:22:03,-322
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,967,2024-09-02 20:22:03,-27
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,459,2024-09-02 21:22:03,-535
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,846,2024-09-02 22:22:03,-148
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,520,2024-09-02 23:22:03,-474
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,951,2024-09-02 00:22:03,-43
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,834,2024-09-02 01:22:03,-160
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,1111,2024-09-02 02:22:03,117
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,803,2024-09-02 03:22:03,-191
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,1255,2024-09-02 04:22:03,261
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,1268,2024-09-02 05:22:03,274
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,1541,2024-09-02 06:22:03,547
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1315,2024-09-02 07:22:03,248
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1742,2024-09-02 08:22:03,675
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",6075,1227,1718,2024-09-02 09:22:03,491
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1457,2024-09-02 10:22:03,390
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1142,2024-09-02 11:22:03,75
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1504,2024-09-02 12:22:03,437
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1621,2024-09-02 13:22:03,554
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1248,2024-09-02 14:22:03,181
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,996,2024-09-02 15:22:03,-71
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1240,2024-09-02 16:22:03,173
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1671,2024-09-02 17:22:03,-441
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2037,2024-09-02 18:22:03,-75
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1330,2024-09-02 19:22:03,-782
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1419,2024-09-02 20:22:03,-693
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1229,2024-09-02 21:22:03,-883
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1259,2024-09-02 22:22:03,-853
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1441,2024-09-02 23:22:03,-671
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1494,2024-09-02 00:22:03,-618
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2013,2024-09-02 01:22:03,-99
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1855,2024-09-02 02:22:03,-257
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2056,2024-09-02 03:22:03,-56
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2739,2024-09-02 04:22:03,627
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2415,2024-09-02 05:22:03,303
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2445,2024-09-02 06:22:03,333
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2208,2024-09-02 07:22:03,96
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2241,2024-09-02 08:22:03,129
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2731,2024-09-02 09:22:03,619
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2631,2024-09-02 10:22:03,519
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2756,2024-09-02 11:22:03,644
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2810,2024-09-02 12:22:03,698
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,3065,2024-09-02 13:22:03,953
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2791,2024-09-02 14:22:03,679
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1987,2024-09-02 15:22:03,-125
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2006,2024-09-02 16:22:03,-106
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1632,2024-09-02 17:22:03,-102
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1658,2024-09-02 18:22:03,-76
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1420,2024-09-02 19:22:03,-314
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1289,2024-09-02 20:22:03,-445
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1084,2024-09-02 21:22:03,-650
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1065,2024-09-02 22:22:03,-669
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1002,2024-09-02 23:22:03,-732
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1271,2024-09-02 00:22:03,-463
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1298,2024-09-02 01:22:03,-436
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1695,2024-09-02 02:22:03,-39
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2092,2024-09-02 03:22:03,358
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2481,2024-09-02 04:22:03,747
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2661,2024-09-02 05:22:03,927
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2008,2024-09-02 06:22:03,274
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2160,2024-09-02 07:22:03,426
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1845,2024-09-02 08:22:03,111
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1946,2024-09-02 09:22:03,212
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2197,2024-09-02 10:22:03,463
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2089,2024-09-02 11:22:03,355
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1984,2024-09-02 12:22:03,250
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2655,2024-09-02 13:22:03,921
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1770,2024-09-02 14:22:03,36
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1664,2024-09-02 15:22:03,-70
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1705,2024-09-02 16:22:03,-29
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,3761,2024-09-02 17:22:03,40
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,3085,2024-09-02 18:22:03,-636
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2776,2024-09-02 19:22:03,-945
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2779,2024-09-02 20:22:03,-942
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2879,2024-09-02 21:22:03,-842
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2829,2024-09-02 22:22:03,-892
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2445,2024-09-02 23:22:03,-1276
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2592,2024-09-02 00:22:03,-1129
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2948,2024-09-02 01:22:03,-773
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,3673,2024-09-02 02:22:03,-48
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4372,2024-09-02 03:22:03,651
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4865,2024-09-02 04:22:03,1144
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4738,2024-09-02 05:22:03,1017
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4514,2024-09-02 06:22:03,793
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4547,2024-09-02 07:22:03,826
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4473,2024-09-02 08:22:03,752
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4405,2024-09-02 09:22:03,684
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4240,2024-09-02 10:22:03,519
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4517,2024-09-02 11:22:03,796
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4847,2024-09-02 12:22:03,1126
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,5265,2024-09-02 13:22:03,1544
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4825,2024-09-02 14:22:03,1104
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4019,2024-09-02 15:22:03,298
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4043,2024-09-02 16:22:03,322
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1258,2024-09-02 17:22:03,-506
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1277,2024-09-02 18:22:03,-487
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1164,2024-09-02 19:22:03,-600
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1416,2024-09-02 20:22:03,-348
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1314,2024-09-02 21:22:03,-450
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1195,2024-09-02 22:22:03,-569
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1292,2024-09-02 23:22:03,-472
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11978,1851,1565,2024-09-02 00:22:03,-286
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",15196,1860,1605,2024-09-02 01:22:03,-255
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",15196,1860,1662,2024-09-02 02:22:03,-198
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11676,1752,2047,2024-09-02 03:22:03,295
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11676,1752,2416,2024-09-02 04:22:03,664
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11676,1752,2286,2024-09-02 05:22:03,534
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11676,1752,2024,2024-09-02 06:22:03,272
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",15196,1860,2511,2024-09-02 07:22:03,651
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",15196,1860,2643,2024-09-02 08:22:03,783
